i,u|you
da,tha|um|ja|sie|rn|nem|ama|ainda|ne|den
naut,skarner|udyr|ali|noc|panth|mundo|amumu|ww|shyv|jax
wrong,
other,others
tristana,sivir|ezreal|mf|varus|caitlyn|urgot|trist|vayne|cait|wukong
english,eng
brain,brains|eyes
retards,idiots|tards|noobs|morons|kids|trolls|people|ppl|feeders|bitches
cover,guard|protect|defend|pul|pull
does,knows
urgot,ez|graves|gragas|trist|vayne|brand|yorick|ryze|kayle|anivia
wanted,tried|want|decided|tryed
cho,wukong|singed|nidalee|poppy|trist|fiora|tristana|karma|twitch|garen
morg,ahri|galio|karthus|swain|ryze|morde|vlad|fizz|brand|morgana
shyvana,mundo|gp|twitch|jarvan|voli|nautilus|noc|amumu|rammus|trynd
ranked,normal|rankeds|rank
arrow,ulty|ult|ulti|taunt
went,came|ran|goes|stayed|walked|flashed|runs
yorick,vlad|irelia|riven|morde|ryze|swain|talon|jax|nasus|panth
ganked,ganged|camped|caught|dived|owned|raped|killed
problem,prob|fault|name|plan
both,
normal,custom|ranked
rammus,mundo|amumu|shyvana|nautilus|fiddle|skarner|voli|jarvan|maokai|shaco
j,aussi|sa|ca|au|je|moi|mais|jme|ils|jai
anything,nothing|something
u2,okok|y2|spamer|hec|ryse|aye|fidlle|verry|haah|vaine
counter,
people,ppl|kids|players|retards
any,
every,evry
gay,braindead|annoying|pathetic|ugly|lame|retarded|brainless|awful|dumb|fat
eve,heimer|nidalee|poppy|twitch|talon|gragas|yorick|nida|kassa|trynda
ss1,ss2|owm|cming|wardet|commin|depush|sss|heading|re1|comign
close,
done,
being,beeing
singed,garen|teemo|trynd|poppy|nidalee|trynda|fiora|tryn|malphite|kayle
okay,ok|okey|fine
games,matches|match|game|players
bye,bb
gragas,ryze|ziggs|annie|fizz|brand|talon|anivia|jarvan|urgot|swain
bait,
reason,
such,
gang,gank|gnak|babysit|ganks|camp
buff,buffs
double,triple
und,mit|auch|nur|nicht|auf|gegen|der|von|zu|haben
also,aswell
se,mas|ves|ido|porque|ahora|cuando|nada|pero|nos|asi
save,
safe,defensive|safer|deff|def
nash,nashor|baron|drag|drake|dragon|inhib|baorn
na,za|jak|kai|tak|kurwa|teraz|chuj|tylko|po|juz
failed,sucked|fail|missed
lulu,nunu|kayle|lux|leona|nida|soraka|sona|teemo|nidalee|heimer
fk,fck|fuk|fuckk|fuck|fack|fuuck|piss
thought,knew|tought|though
pff,fuu|ahahah|pfff|loool|ahaha|ahahaha|ahhaha|ahahahah|xddd|omgg
fcking,fking|fuking|fuckin|fkin|fkn|fucking|fuckign|fukin|fckin|facking
wukong,fiora|gp|talon|morde|olaf|akali|nasus|trynda|teemo|riven
nashor,nash|baron|drag|dragon|drake|inhib|baorn
someone,some1|anyone|somebody|everyone
malph,gp|galio|ww|panth|kayle|ryze|amumu|nunu|shen|mumu
something,sth|smth|anything|nothing|what|things
little,lil|girl|litle|child|bit
slow,
poppy,fiora|gp|jarvan|riven|teemo|nasus|wukong|twitch|singed|kayle
moron,retard|tard|idiot|cunt|fag|faggot|bitch|fucktard|dumbass|bastard
h,rt|jag|din|inte|eg|tten|vad|bitc|dig|det
malz,cass|brand|ziggs|anivia|fizz|karthus|malza|gragas|galio|ryze
boots,shoes|dorans|armor|lifesteal|wriggles|doran|qss|warmogs|oracles|bf
est,tait|etait|mais|trop|qu|comme|pas|bon|vous|moi
fb,
armor,magic|resist|mr|armour|boots|lifesteal|mres|pen|ms|shoes
bit,little
great,good|nice|awesome
runes,masteries|rune|items|ms|page|armor
wolves,wolfs|wraiths|wolfes|wolf|wraith|ghosts|golem|red
ass,self|asses|family|head|face|mum|father|parents|sister|arse
son,sons|legend|peace|bunch|piece|legends|dog|doom|sort|pieces
xdd,hahahahaha|hahahha|xddd|xdddd|ddd|ahha|hahha|ahhaha|hahahaa|hahahahah
since,
et,avec|moi|pour|pas|contre|fait|toi|aussi|qui|mais
yo,por|eso|cuando|como|pero|todo|arriba|eres|hace|lo
lanes,line|lines|lane
1v1,1on1|1vs1
fking,fcking|fuckin|fuking|fkn|fkin|fuckign|fucking|fckin|fukin|fckn
blind,dumb|retarded|braindead|stupid|drunk|brainless|annoying|pathetic|gay|terrible
das,schon|bei|nicht|alter|hier|nen|wie|zu|von|doch
understand,know|hear|believe|realize|read|listen|see|explain
chat,
hahah,hahahaha|hahaha|hahahah|ahahah|hahha|ahahaha|ahah|ahaha|haha|lool
waste,wast|wasting
guess,think
gl,hf
ppl,people|players|kids|retards|idiots
speak,talk|write|argue|complain
enemy,
map,minimap
own,
oo,
il,qui|elle|moi|pour|pas|et|mon|ca|sont|toi
kids,retards|flamers|people|tards|bitches|players|morons|idiots|girls|ppl
worth,worht
eu,eva|euw|europe|farmer
fine,okay
