i,u|you 
deutscher,wollt|geld|heute|witz|selbst|kanacke|schwul|stimmt|ruhig|dumme
loosers,baddies|losers|preamde|ragers|dumbs|plain|frenchies|mexican|hater|geek
checking,covering|changing|recalling|reading|expecting|stall|asleep|basing|eating|bum
w00t,opmg|gooooo|fj|omng|wtffff|zzzzzzzz|lagggg|trololololo|loooooooooooool|wops
invalid,mie|hilarious|terribad|basically|brilliant|awful|argument|dum|whre|garbage
nw,directly|fffs|goooo|woop|jup|oimg|bum|gogogog|gogoog|oj
ammu,omgf|npnp|xddddddddddd|trolololol|opa|jaxx|moze|boo|lole|woo
dani,primero|cabron|estar|veo|payaso|nosotros|espera|ostias|fue|tanke
cabron,primero|seguro|retrasado|claro|ostia|mismo|payaso|colega|mete|mato
cookie,medal|screenshot|tip|apprend|sert|foutre|cake|vete|pizza|aprende
wf,wft|nooooooooooob|yw|nice1|tks|nooooooooob|gjh|nj|opmg|ghj
intentionaly,intentionnal|intencional|international|int|intentionally|nonstop|stopp|intentional|stoop|sotp
arr,chi|tai|fermer|peur|eux|retourne|avoue|enculer|pote|tiens
tarick,ashee|kennne|vaigar|alista|varys|tiwtch|tarik|riv|blits|wuk
whjy,meee|wy|gogogog|mfg|wtfff|yyy|nwm|hy|goooo|gogogogo
sleepy,prooo|dea|cheated|bum|gotcha|nj|proo|olol|gh|wtfff
oj,kanacke|behindert|mongo|penner|missgeburt|typ|suka|freaks|mist|opa
focuse,repoort|foucs|1shot|focsu|moove|foc|repoirt|sleeps|grr|cheats
ololol,ws|huhu|nive|fj|ololo|xaxa|taunts|lole|hahahahahahahah|wtrf
looses,2gud|waw|dcd|geez|trollgame|2ss|lmfao|s2|orly|yey
creeping,dreaming|downloading|farmin|chatting|dl|facechecking|counterjungling|recalling|nooooooooooooo|derping
kuk,bara|hj|vill|gy|eller|med|kommer|mig|suger|nej
esay,eas|eazy|pffffff|woo|tlaon|dah|deze|izi|okej|haa
facil,esk|estar|cosa|buena|colega|seguro|mete|antes|hablas|espera
gotcha,nj|gh|ghj|yw|omgh|nice1|spoko|wops|gooooo|aff
knowing,caring|communicating|intention
covering,basing|changing|dea|backdooring|chilling|enjoying|basically|asleep|checking|recalling
law,batman|laging|enjoying|recording|drunken|male|laggin|beginner|dea|stoned
puch,finis|ush|afl|surrener|shhh|doi|surrnder|puhs|rouge|farme
cata,renekt|akli|ammu|grav|gran|david|olag|boo|gravs|facepalm
tut,oben|reden|verlieren|eigentlich|wollt|zusammen|kannste|weiter|sollte|wohl
window,loading|channel|anus|storm|ground|towe|goal|air|kitchen|house
helf,dumme|endlich|danach|sehen|junglen|wurde|zuerst|warte|hoch|werd
fcuking,fuckgin|fuckn|luker|fucknig|focking|freakin|fuccking|ahahahahaha|ogm|fkcing
writting,smoking|backdooring|laggin|ikr|basing|recalling|drunken|tryharding|changing|eating
ahhahahaha,okai|y2|fff|ssss|jurk|ahahahahha|oha|afl|muhahaha|facepalm
stuped,omng|fuckig|prooo|opmg|llol|okei|camon|fukking|gogogogo|xaxaxa
empty,dafuck|kewl|bum|gangster|cheap|mexican|freez|nat|obvius|hopeless
nex,frist|firt|nxt|fist|fisrt|firs|6th|5th|evry|3rd
daed,seg|3vs|asists|assis|okok|xaxa|hahahahhahaha|vs2|proo|nv
zomg,opmg|ahahhaa|omng|relaly|gooooo|loooooooooooool|trololololo|loooooooooool|omgh|nice1
boulet,abruti|gamin|fini|beau|potes|retourne|faite|fermer|jeux|osef
whiny,selfish|disgusting|dirty|kiddie|mexican|geek|retared|mentaly|fagg|spotted
sks,ante|nai|skase|mlk|eleos|oxi|mlka|esu|zwo|pio
file,malaka|kala|oxi|eleos|nai|mlk|mlka|skase|esu|ante
fdx,tenho|bem|ainda|uma|fds|meu|tens|faz|caralho|isso
espera,estar|esk|dale|cagar|jugando|aqui|cosa|vale|hablar|isto
hiting,hitting|hitted|hited|tick|whisper
wtv,nooooooooooooooo|gooooo|hahahaah|gh|nv|nty|trololololo|sryy|mkay|nm
suger,vill|mig|eller|ju|meinst|missgeburt|wixxer|sei|och|leise
sent,mange|reco|bite|arabe|tuer|vois|fran|crever|dessus|bordel
nl,idem|ehhh|lekker|suka|spoko|ole|aso|gh|opa|mul
coop,custom|bots|ia
ending,update|sarcasm
plow,ftg|couilles|srx|vieux|serieux|dsl|vraiment|quelle|ptin|beau
retardeds,trashes|noooooobs|campers|motherfuckers|wanker|cocksucker|lows|nobos|newbs|mexican
shark,banana|bugg|barrel|laser|arow|luc|volley|brolaf|headbutt|urf
fkg,fuccking|fucing|mentaly|fuckn|fuckingg|fckign|ahahahaha|fukcing|fcuking|fuuu
kaiser,opmg|laaag|yees|ahahahahha|omng|wtfff|noobbb|ofmg|fuuuu|jajajajaja
dipshit,anormal|wanker|niggah|opmg|mongol|lagggg|noobbb|noooooooobs|idioot|geek
cb,chui|compte|twra|tous|calme|ena|genre|san|geule|nike
ocme,sleeps|repoort|coime|slowpoke|rocks|grr|whait|babysits|ghj|repotr
p12,aso|neger|orospu|oha|behindert|fg|fitta|flo|kanacke|typ
pou,8a|exeis|kala|egw|san|eisai|mou|gel|eleos|twra
aan,jij|voor|het|nog|weer|toch|mij|nou|niet|maar
sign,result|song|meaning|legends
5v2,fffs|ahahahahha|jup|facepalm|trololololol|opk|glhf|goooo|david|looooool
gankl,coime|countergank|nooooooooooob|smd|helpo|grr|cuidado|sleeps|gran|oomg
tlak,downloading|cahse|dl|fedd|shooting|falming|speack|flood|download|cryin
dreaming,chatting|downloading|hating|falming|derping|lying|suiciding|qqing|overextending|cryin
busch,ernst|kopf|arsch|mitte|ganz|leben|gerade|kannste|sterben|deiner
jack,storm|dark|kitchen|greatest|zin|turkey|circle|inventory|ruhe|ground
wops,gooooo|wtfff|opmg|wtffff|ghj|lagggg|aaaa|gh|opa|grrr
calculated,glhf|bum|faill|wtfff|dang|oha|tap|hahahaah|suka|gh
cie,juz|grac|chuj|tego|teraz|tylko|wiem|czemu|ci|nawet
pvp,laat|afl|ih|dacht|sisi|sim|ouh|dole|0o|goed
dl,downloading|afl|falming|pin|batard|flood|download|counterjungling|ptin|fedding
doign,dong|doin
eto,ole|moze|bana|jebany|valla|nx|vo|suka|manu|ise
thast,looooooooooooool|wtfff|hahaah|woah|dide|lagggg|whyyyy|nwm|surrener|brbr
fuccking,fuckingg|fcuking|fuckn|fkg|luker|fucken|focking|ahahahaha|jajajaj|fuu
ownage,suicider|impressive|gh|yw|hha|hahahahahahah|turk|whaha|lcuker|oj
vagy,kurac|sn|ole|perdido|moze|jos|vo|manu|eri|estar
pin,afl|dl|finis|famille|bac|suicid|falming|downloading|ret|blague
faceroll,unbrain|trolll|cheated|scumbag|nobb|genius|classic|nnoob|balanced|usles
sabe,sabes|puede|tanto|puedes|hago|hace|hay|pasa|eso|puedo
papa,kes|kurac|ole|tez|nx|tens|egw|batard|jebany|oti
shift,vet|tez|hela|papa|fitta|leg|orospu|dig|dej|sn
brauchst,spast|kommst|danach|ruhig|siehst|kannst|kleine|sowas|gerne|spielst
boon,behindert|aso|david|kanacke|freaks|heu|suka|laf|idioten|ehhh
garves,olag|fior|udry|mudno|alista|rive|ahahhaa|aniva|volli|ryz
caugh,cought|randuins|grabbed|hooked|counterjungled|baned|shurelias|catched|merc|kited
abruti,potes|fermer|bordel|retourne|eux|jeux|tai|gamin|fini|famille
penetration,pene|resi|inf|mercury|res|resistance|mercs|mres|thorn|belt
sck,suckk|boon|suka|mimi|bum|vodka|mexican|duck|including|suk
ezra,corkie|surrener|hahhaa|fuuu|gran|uff|irela|wtfff|carus|wops
trollpicked,recalled|roamed|pwns|sees|randomed|lucked|leaves|spams|sleeps|speaks
kp,niemand|kanacke|wirklich|selbst|erz|sowieso|passiert|ach|schwul|wissen
vot,abi|mul|amk|ole|kes|eto|bom|sim|tez|daha
noraj,opa|loooooooooool|aaaa|gooooo|trololololo|aie|woooow|fffs|mfg|laaag
eed,finis|yok|kes|amk|nas|gio|daha|yt|fg|adam
werd,sowieso|sehen|geld|welche|schwul|zocken|endlich|musste|ehrlich|kleinen
aso,oha|behindert|p12|spoko|headshot|kanacke|opa|depp|gerne|david
strike,taunts|moze|dayum|jos|ole|jeszcze|dcd|manu|heu|lekker
poo,youtube|cum|period|post|dik|hair|rolling|pee|gagner|perd
saco,cagar|maricon|tanke|payaso|sisi|fds|ara|dani|amos|gran
hopeless,unreal|uncarryable|mexican|basically|beginner|hammer|hater|funy|dafuck|senseless
boyfriend,dad|sister|mums|father|mothers|faul|fathers|fualt|playstyle|parents
heute,wirklich|reden|runter|dass|nciht|ins|wohl|nichts|heul|schreiben
ahahhah,ssbot|gooooo|trololololo|nooooooooooooooo|opmg|opa|lolwut|1ss|loooooooooooool|omng
donkey,mexican|bitche|geek|wanker|biitch|fff|noobbb|slut|mongol|ragekid
laptop,leg|inet|client|desktop|dik|house|eggs|anus|tactics|jaa
seh,liebe|wollte|mach|weis|gesagt|sowas|dass|glaub|vater|nichts
demande,commence|dit|pue|reste|crire|connard|parler|dire|ouai|truc
tat,lole|mirror|woah|1vs3|heu|omh|wtffff|ntm|vodka|ataca
seriosly,lcuker|hackers|nooooooooooob|animals|lagggg|opmg|ogm|bitche|woah|nb
plenty,lots|loads|isntead|sons|couple|amount|insted|doom|tons|infront
dea,ded|sleepy|basing|bum|dcd|asleep|prooo|backdooring|drunken|gotcha
twicht,blizz|hhaha|shiiit|fff|noobbb|mudno|omggg|foking|alista|xi
surrnder,surrener|surredner|finis|ntm|gb|sdf|gh|woooow|goooo|baylife
preamde,jajajajaja|oha|whaha|campers|hahahahahahaha|5vs1|urf|hahahahhaha|haa|aaa
polak,opa|idioot|omng|niggah|cok|debil|zwo|fffs|jea|jajajajaja
perdre,veut|mange|temps|reste|pue|compte|potes|voir|casse|doit
gas,batard|mange|donne|gel|boloss|tourelle|ses|vite|dole|vo
anglais,fran|francais|gamin|ais|mange|ouai|cest|ces|chez|voila
werde,nciht|laber|passt|glaube|ficken|wollt|vater|schwul|werd|zocken
reduction,1sec|reduce|infinite|tru|2s|30sec|reg|mass|95
tfs,40s|5sec|20mins|zin|3min|2sec|5s|pula|ssmid|trololololol
els,calles|rapido|enserio|agora|ci|exo|fdx|bez|valla|jebem
woth,darn|worht|pfft|ower|wad|skip|activated|gogoog|sstop|xx
blew,showed|fuked|messed|fked|shows|fcked|screw|scroll|fuckd|shup
hahahahaa,omng|ahahahahahaha|trololololo|haa|wowo|laaag|nooooooooooooooo|loooooooool|ahahhaa|opmg
mif,muid|bto|boty|botr|topp|miod|skaner|malh|bopt|topo
57,64|53|47|65|81|67|56|69|85|86
harassment,harrasment|abuse|verbal|racism|negativ|griefing|sabotage|spaming|raport|offensive
ona,czemu|tez|nawet|jebany|denk|nei|farmen|grac|dobrze|pol
tai,veu|voila|tkt|eux|mauvais|tiens|abruti|retourne|mange|potes
hin,einmal|gerne|selbst|raus|schuhe|ihm|geld|schnell|jude|hau
vosotros,equipo|ostia|hablar|mato|poco|nosotros|gilipollas|otro|gente|antes
decir,tiempo|tienes|jugar|estas|nadie|hablar|digo|eso|juego|sabe
band,doom|beware|legend|curse|legends|quote|sun|insted|sons|beacause
gooood,wft|ghj|yw|fy|ita|gotcha|gjh|wtffff|jj|gh
protec,bck|grr|protected|whait|fous|ank|halp|blam|repoort|repoirt
geld,witz|schuhe|sowieso|nochmal|ruhig|passt|selbst|raus|denk|werd
juden,schuld|lasst|schnauze|anderen|eier|pisser|ficken|sehen|kinder|selbst
tiwtch,ashee|ezz|alista|xi|kennne|foking|varys|vaigar|nasusu|tarik
repotr,repoort|tks|repoirt|foc|repoert|sleeps|rport|nj|reproted|cheats
lik,papa|kurac|isto|ole|tez|chi|dole|gel|dej|dobrze
reflex,fairplay|oha|mh|jk|chil|oups|sniper|runer|okai|arg
focu,nj|oomg|foc|lcuker|okk|yw|repotr|repoert|ghj|nooooooooooob
ernst,kopf|ganz|leck|feeden|leben|gerade|freunde|arsch|bleib|sterben
fixed,soloed|reward|known|punished|appear|worht|awrd|recalled|omen|pinked
sleeps,cheats|tks|erm|rocks|nooooooooooob|repoert|babysits|repoort|ghj|repotr
2vs4,haa|waow|woo|hahaah|nioce|fff|nooooooooo|wtfff|whay|nooooooooobs
eier,anderen|schnauze|fresse|zeit|ganze|schuld|kommen|juden|lasst|schule
1s,valla|gol|okej|exei|woot|bana|kar|wd|heu|eto
helpful,baad|nooblike|funy|strange|anoying|kewl|patetic|intelligent|dum|annyoing
greece,turkey|chinese|china|uk|behindert|zwo|suicider|greek|spasti|trashes
fling,lure|kileld|1shot|root|killl|kicked|harrass|scare|grabed|crush
okej,opa|haa|dah|flo|p12|fg|noraj|simon|neger|ole
bltiz,goooo|woot|dafuck|woah|haa|wtfff|tarik|baylife|surrener|ahahhaa
euhehuuheuheuhueuhehueuhuhehuehuehuehuuheuheuheuhehu,
sue,exei|tenho|valla|nx|bana|jebane|jeje|pou|exw|eee
nooooooooob,feeeder|nooooooooooob|yw|jajajajajaja|ofmg|nooooooob|tks|loll|fj|wf
v2,vs2|ws|3vs|nv|lev|portugal|ssbot|seg|cm|05
thios,woah|bitche|reatard|noobbb|lcuker|noop|gogogogo|hater|ogm|hackers
accident,hier|passiert|ausl|erz|deutschland|kevin|nder|desktop|gar|nico
kitty,1vs4|lego|pokemon|taem|men|vei|nooooooooobs|pacman|barbie|mif
sould,msut|shuld|didi|whyyyy|gonne|woudl|wll|wud|shoud|shoudl
rate,spin|ratio|eazy
hablas,estar|mato|despues|venga|contigo|ganamos|colega|mete|otra|gilipollas
chui,jsais|bordel|mieux|genre|gamin|calme|avant|voila|crire|ais
hijos,ijo|linea|calla|hijo|ostia|paso|subnormal|estamos|mancos|mierda
vaynes,ashes|mordes|fiddlesticks|teemos|kennne|anvia|varrus|varys|jannas|srlsy
countergank,gankl|coime|facepalm|ank|ntm|helpo|tornmail|woop|brbr|opa
nothink,nothign|nothin|somthing|anythink|anythin|nt|wat
fc,nooba|aie|oha|yyy|nooooooooo|lagggg|ddddddd|fkc|laaag|fuuuuu
grouped,togheter|togehter|togetehr|togther|toghether|toghter|silent|grp
ported,goi|whyyyy|door|windows|gio|igo|uff|commin|comign|1ss
etam,ryz|vaine|rize|hari|foking|shacko|trinda|nooooooooobs|tean|morda
bort,boty|jac|goooo|toip|nassus|simon|gran|wk|md|jajajajaja
dumme,flamen|selbst|doof|ruhig|eigentlich|endlich|schwul|geld|kanacke|schnauze
shacos,mein|stimmt|teemos|mordes|jannas|kla|meinen|jop|nit|nochmal
heheh,ikr|lkol|nooooooooo|gotcha|jurk|ahahahahha|haa|bj|trololololo|trolololol
brilliant,mexican|awfull|baddies|badd|dum|disgusting|hater|unluck|funy|geek
puis,faite|voila|tous|aussi|retourne|vient|prend|mieux|jsais|parle
fit,sent|goed|dole|bite|known|reco|fare|papa|zin|samo
connect,scape|retreat|moove
ere,wena|manu|aie|ree|ostias|maricon|gran|hola|moze|ise
30min,20mins|disco|zin|7min|erm|six|15min|bay|lekker|surrener
cara,hablas|boca|maricon|ostia|linea|partida|vez|mancos|despues|equipo
sieht,spielt|wohl|genau|sollte|sich|spiel|eigentlich|kann|heute|nciht
garbage,brilliant|mexican|skase|zwo|retardet|spotted|turkey|dum|ftg|plow
bow,headshot|sdf|disco|baylife|nei|jebany|dayum|heu|tap|boo
faq,fuq|ih|igual|xo|samo|dai|pena|eri|jebany|dole
wenigstens,kannste|rum|unten|sterben|runter|ruhig|oben|weiter|jz|eigentlich
tira,vez|azul|tambien|despues|mio|aqui|partida|retrasado|otra|dios
facile,mieux|vrai|drole|ces|potes|voir|bordel|avant|eux|francais
noobz,bp|nobos|noooobs|newbies|nobs|tryda|noobteam|naps|nooooobs|noooooobs
spread,figured
twra,egw|exeis|apo|8a|eisai|esu|kanw|samo|gia|ena
tanke,estar|venga|hablas|jugando|cabron|perdido|mete|cojones|payaso|retrasado
bj,oha|trolololol|glhf|gh|aff|woooow|puh|gotcha|aso|lagggg
dutch,beginner|kiddie|pedo|spotted|chinese|lololo|ragekid|greek|esl|dyrus
yhe,aie|suka|lole|hahahaah|goooo|wtfff|gh|gooooo|opa|loooooooooool
tenemos,mejor|claro|asco|sois|estan|dices|morir|poco|ahora|aqui
holding,forcing|carring|raping|blam|dominating|owning|defending|splitted|harassing|pushin
pq,faz|tas|nunca|pete|comeme|mai|uma|sal|gel|merd
blizt,ahahhaa|playa|corkie|loooooooooool|ashee|nassus|olag|facepalm|tee|hahahahahha
closed,deze|4v6|kl|funy|gangster|crashed|reboot|breaking|lekker|dole
l2play,jajajaj|fuckyou|ashee|fuckgin|opmg|ezz|fuuu|xaxaxa|ciao|kaiser
arp,pene|attackspeed|rm|yyy|jj|penetration|boo|tiamat|oomg|demacia
oomg,surrener|gh|wtfff|nice1|opmg|opa|boo|nooooooooooob|heu|gotcha
mete,calla|hablas|estar|colega|vale|venga|retrasado|porq|tonto|ostia
lle,rt|mig|tten|eller|spa|idioten|neger|nej|deutschland|dumme
noooooooooo,nooooooo|gjgj|wtffff|nooooooooooooooo|lalala|yeee|opmg|gooooo|gjh|lkol
liebe,wollte|weis|deswegen|dass|glaub|gesagt|heute|nciht|wollt|runter
ank,ree|gibi|ghj|emm|coime|grr|cae|idem|wtfff|durr
ahe,wtfff|pmg|dah|woops|okej|jeje|laaag|jajajajaja|mda|aie
endless,major|teamates|profit|pmg|chain|xdddddddd|fiddlesticks|fkign|phanteon|tarik
crank,hahahahahahah|gh|david|hha|lekker|behindert|smd|hoor|mul|oomg
merc,shurelias|randuins|scepter|inf|randuin|pinks|hourglass|oralce|atmas|shurelya
chinese,behindert|zwo|geek|dafaq|boon|freaks|uk|kanacke|dcs|turkey
supprot,urf|opa|oha|congratz|ji|ciao|2ss|suka|dah|david
meilleur,mauvais|pris|maintenant|tellement|tiens|seul|surtout|potes|quel|baise
secret,mission|channel|heu|reality|nl|dickk|puff|toaster|duck|kl
vol,moin|chi|deg|boloss|tellement|jla|ptin|lieu|famille|couille
stark,nochmal|geld|werd|sowieso|trotzdem|sowas|jaa|wollt|schwul|rede
1shot,kileld|crush|focuse|grabed|fling|outfarm|repoort|bursted|killl|lure
varys,jaxx|tryda|akaly|alista|xi|ashee|tarik|pmg|hari|tiwtch
cuenta,vez|donde|otra|mio|hablar|torre|colega|poco|juego|estas
fett,doof|schwul|wissen|genau|hure|dumm|gefeeded|dumme|lustig|opfer
sv,hora|fitta|zwo|mig|gy|hur|orospu|nej|eleos|och
peter,baise|voila|eux|mange|ces|potes|voir|chez|pote|vien
eam,suka|mongol|chi|maj|moin|arr|wah|sim|abruti|moze
gran,ole|batard|moin|hijos|rire|sisi|fermer|valla|boloss|putta
waren,sind|leute|immer|erst|haben|alle|zeit|sagt|beide|gegner
unser,selber|auch|besser|wieder|weil|eig|kacke|nix|gewinnen|alter
afkers,urf|ragers|riots|trinda|cassiopeia|animals|udry|trollers|lowbobs|irellia
banshees,pinks|inf|thorn|thormail|omen|merc|shurelias|atmas|scepter|abysal
omm,ehhh|olol|ise|sdf|david|valla|fg|wena|opa|laf
tristan,tee|jan|alista|olag|eze|tarik|kennne|renekt|fio|varys
hha,gotcha|mimi|wtffff|gh|yw|aff|lagggg|woooow|gooooo|ntm
bonne,tai|drole|voila|ces|eux|pote|pete|koi|fai|tres
hog,attackspeed|recal|mercs|omen|mercury|hahahhahaha|chalice|oralce|abysal|gol
fl,ej|peter|partie|rouge|tai|mange|eux|kes|perdre|hora
bez,jebany|bom|cie|tez|grac|wiem|jaki|nawet|juz|tego
pis,batard|ole|tain|jla|tai|gel|nx|beau|chi|bana
vv,whaha|jajajaj|ajaja|omng|ahahahahha|feders|haa|jajajajaja|kkk|gjj
delet,unistall|uninstal|deinstall|unistal|delete|uninstall|exit|ruiner|finsh|trolll
comign,cming|commin|1ss|coime|2ss|s2|re1|heading|cae|warde
udry,alista|fior|sawin|lalala|xi|ezz|vyane|mudno|olag|aniva
ike,fkign|sck|fock|mentaly|spotted|ara|niggah|fucing|fuckig|animal
laggin,laging|drunken|stoned|recording|beginner|italian|dyrus|dea|tryharding|confused
wah,idioten|dah|gerne|kevin|jaa|kanacke|aie|jaki|ole|xi
vigar,hari|riv|fizzz|skaner|cork|ryse|volli|y2|morder|fidd
dddddddd,spoko|2ss|woop|headshot|wops|nei|ree|boo|jebany|moze
bich,geek|donkey|wanker|mexican|baddie|kidd|noobbb|ape|bitche|polak
yt,wena|mul|tra|fitta|adam|pol|heu|sm|sisi|kes
noop,pffff|noobbb|woah|opmg|xxd|ogm|idioot|jajajajajaja|wops|thc
fidlle,rive|ryz|alista|ezz|vaine|mudno|olag|spamer|ari|foking
wehn,11min|nw|15s|ena|gogogogogo|nioce|opk|fs|34|sstop
ehrlich,flamen|endlich|ficken|sowieso|selbst|werd|dumme|kanacke|schwul|sehen
shurelyas,bursted|oralce|kited|abysal|shurelias|merc|randuin|crank|latern|snared
asleep,dea|bum|komt|nat|lekker|ehrlich|ehre|obvius|endlich|sdf
bopt,hahahahahahaha|omgf|looooool|moze|mudno|jajajajaja|oha|pffff|vodka|toip
mouni,gamo|sou|gamw|apo|sas|tin|etsi|kanei|exeis|kai
including,gogoog|mimi|bum|geegee|whait|omh|wtffff|yw|yhe|aff
intention,fualt|foult|toaster|feelings|mission|stupidity|client|sarcasm|probleme|faul
dang,dayum|sryy|brbr|zzzzzzzz|sdf|lagggg|ghj|wtfff|gooooo|wops
ita,suka|fg|opa|ataca|debil|spoko|dobra|boi|wena|ehhh
oha,aso|nooooooooo|suka|looooool|headshot|jajajajaja|wtfff|opa|spoko|moze
zocken,gerne|ruhig|passt|bleiben|wissen|ins|sowieso|werd|sehen|runter
windows,goi|snake|pol|animals|git|wtfff|moze|goooo|meee|jezus
padre,colega|subnormal|calla|gilipollas|voi|claro|pete|jugando|ostia|loco
eggs,leg|laptop|dik|hair|nose|cooldowns|d1ck|dickk|finger|client
paar,einmal|selbst|passt|sollte|jude|welche|ins|lasst|ruhig|kinder
crl,caralho|jogo|ainda|fdx|faz|meu|mesmo|nao|tava|algo
legend,legends|sons|doom|beware|insted|peace|curse|isntead|pieces|sort
timed,pinked|wad|spawned|cleared|ish|smited|soloed|expired|reward|awrd
wanting,tryin
retrasado,porq|ostia|colega|gilipollas|tonto|primero|esto|mio|siempre|aqui
pasive,noobbb|guise|leg|corkie|nooooooooobs|hackers|heu|pf|hahhaa|pmg
leech,leach|steel|cap
anormal,pffff|mongol|dipshit|lagggg|shiiit|boo|laaag|haa|noobbb|gran
xddddddddddddddd,opa|noraj|sryy|goooo|ahahahahha|gooooo|fffs|tyty|loooooooooool|ntm
brushes,bushes|tribush|grass|tehre|baorn|area|sight|purple|places|expired
baddest,noobest|badest|dumbest|greatest|easiest|hardest|trolll|bigest|unbrain|bets
beau,potes|genre|gamin|casse|mieu|drole|eux|bordel|pote|ces
ashes,mordes|teemos|vaynes|noi|sorka|69|varrus|heh|49|varys
wissen,verlieren|gewinnen|werden|reden|zocken|dass|ruhig|ficken|oben|eigentlich
peor,mismo|suerte|mejor|aki|vale|haces|dices|parece|mato|tonto
hella,extremely|caith|jac|pulll|blizt|soooooo|relaly|jojo|uber|ahahahahah
shild,demacia|hahahahahahah|knockup|heu|hahahahahha|tarik|noooooo|dafaq|noooooooooob|ahahhaa
goi,gio|igo|aron|goooo|wtfff|ib|whyyyy|gogogog|gogogogogo|windows
wtb,nr1|npnp|fuckiing|ahahahahahaha|gogoog|wops|nce|bets|fs|powa
wort,iz|kanacke|behindert|david|sowieso|stimmt|kevin|ih|abi|idioten
fisrt,firs|firt|firts|nex|6th|frist|nxt|gogogog|fs|fist
bestimmt,voll|ganz|nciht|wirklich|flamen|uns|selbst|werden|heute|eig
laf,ehhh|spoko|aie|wena|fg|wtfff|opa|noraj|baylife|sm
discussion,nature|legend|beware|legends|rod|beacause|doom|insted|sons|loads
dong,doi|surprise|boah|schuld|behindert|ding|hallo|mongo|stimmt|didi
class,polak|ise|classic|toaster|iz|demacia|beginner|handicap|paper|panda
shacco,alista|skaner|shacko|riv|sej|shac|fizzz|zigg|sahco|natu
pame,paw|pio|kanw|exeis|moze|twra|kaneis|eisai|esu|eleos
nger,uft|spa|deutschland|anders|heul|rt|kleine|gesehen|runter|schwanz
babysitter,handicap|fckign|premad|geek|polak|braind|idioot|sniper|mexican|dickk
aniie,jajajajaja|kennne|tiwtch|nooooooooo|tee|haa|olag|xi|jan|alista
danach,musste|unten|nciht|runter|alleine|selbst|geld|wollt|ruhig|endlich
fukign,nr|nooooooooobs|1vs|ws
commence,crire|vais|personne|pue|demande|doit|bordel|connard|potes|allez
mache,brauch|weis|drauf|sowas|weiter|meinen|schaden|ihn|kannste|glaub
ypou,yopu|youy|uz|ytou|ypu|ogm|yuou|fckng|yoiu|tyou
dai,ole|dole|aj|idiota|sono|nx|sim|jugando|porco|samo
wind,duck|sun|spastic|noobies|demacia|weed|bus|candy|cake|china
ree,ole|suka|jebany|nx|heu|nei|jla|bana|batard|kes
ddddddd,wtfff|wops|fuuuuu|sryy|lagggg|baylife|fffs|loooooooool|fuuu|haa
cocksucker,wanker|dumbs|bitche|noov|mexican|geek|retardeds|ragekid|donkey|gaylord
six,hj|rolling|2late|asleep|nm|jup|bow|zwo|cum|gy
podemos,tanto|mucho|parece|ganamos|juego|otra|pasa|asi|hay|porque
refused,refuses|tries|unable|decided|refuse|tryed|managed|supose|forced|tryin
gravs,varys|hmmmm|hari|enserio|tarik|jaxx|olag|sho|tee|soraca
agressiv,agresive|silent|aggresive|carefull|aggressive|manly|agressive|baad|honest|nervous
overrated,wihtout|nio|wtb|bets|pr0|ahahahahahaha|nr1|invi|ehre|fuuuuu
aiming,hooks|troling|lasthitting|premad|sniper|blinded|sacrifice|lies|hiding|baits
fickt,ehrlich|selbst|ficken|heute|verlieren|nciht|reden|verpiss|kleinen|ins
doom,beware|sons|insted|isntead|legend|legends|band|bcuz|beacause|loads
fools,noraj|goooo|loooooooooool|haa|laaag|whay|woo|ahahahahha|fff|lel
hablar,gilipollas|estas|ostia|nosotros|tiempo|perder|quien|equipo|cuenta|gracias
shiiit,lagggg|fff|haa|bitche|noooooooooob|gggggg|ssss|noraj|jajajajaja|noobbb
plizz,pzl|plesae|ineed|psl|plase|ashee|plox|plese|heime|caitly
thes,uk|nooba|noobbb|idioot|xs|ally|woah|woo|pirate|dafaq
soooooo,ahahahahah|hahahahahaha|fuuu|katha|reallly|runer|uber|fckng|runner|wanker
somethin,smthing|wut|somthing|smth|wot|banshees|turk|abysal|seriusly|cake
hade,har|bara|ett|nej|med|eg|inte|daha|vet|som
66,47|65|64|69|83|44|36|56|52|67
digga,wirklich|lasst|einmal|kanacke|dumme|endlich|dabei|passt|sowieso|sehen
harassing,griefing|falming|troling|flameing|flamin|blam|counterjungling|downloading|trashtalking|negativ
nautlius,ramm|ahahhaa|facepalm|y2|tarik|olag|okai|vyane|noooooooooob|haa
behaviour,stupidity|finger|playstyle|mums|mothers|boyfriend|behavior|tactics|asss|tits
tava,uma|nao|ainda|sempre|isto|tenho|faz|fdx|tens|mae
boloss,batard|couille|mange|lieu|abruti|enculer|potes|tai|premiere|famille
streak,ratio
anythink,anythin|whyy|crl|nothign|2vs3|wft|caralho|proc|ahahahahha|sryy
volley,shark|proc|charm|tornado|ex|drain|barrel|ignit|speel|smit
moin,ptin|batard|rouge|tai|prends|boloss|truc|fermer|enculer|sui
reco,comprend|ole|tai|kes|moin|mange|truc|arr|sisi|abruti
recal,brbr|ntm|surrener|fffs|goooo|oomg|nahs|wtfff|gogoog|opa
uft,nger|sst|sch|gar|tot|flamen|ach|schwanz|runde|wenigstens
steht,unten|bringt|rum|gehen|wieder|oben|weil|klar|gesagt|kannste
