400343,1,0,Intentionally Feeding,3,0,16,1490
400343,2,0,Intentionally Feeding,2,1,16,1276
400343,3,0,Intentionally Feeding,3,0,16,2384
400343,4,0,Offensive Language,2,1,16,1340
400847,0,0,Offensive Language,3,0,5,1950
400847,1,0,Verbal Abuse,2,0,5,1387
400699,0,0,Assisting Enemy Team,4,0,8,2154
400699,1,0,Assisting Enemy Team,2,0,8,1664
400699,2,0,Offensive Language,2,0,8,2142
400059,0,0,Verbal Abuse,3,0,11,1882
400059,1,0,Intentionally Feeding,1,1,11,1273
400059,2,0,Offensive Language,2,0,11,1239
400059,3,0,Intentionally Feeding,2,0,11,1711
400059,4,0,Intentionally Feeding,2,0,11,1866
400998,0,0,Offensive Language,4,2,15,1424
400998,1,0,Negative Attitude,3,0,15,1404
400998,2,0,Offensive Language,2,1,15,842
400998,3,0,Verbal Abuse,1,2,15,1195
400688,0,0,Intentionally Feeding,2,4,13,1885
400688,1,0,Intentionally Feeding,4,0,13,1430
400688,2,0,Offensive Language,2,1,13,2613
400399,0,0,Intentionally Feeding,3,0,15,1302
400399,1,0,Assisting Enemy Team,2,1,15,2064
400399,2,0,Offensive Language,3,0,15,2630
400399,3,0,Intentionally Feeding,2,1,15,1925
400399,4,0,Intentionally Feeding,2,1,15,1527
400460,0,0,Intentionally Feeding,2,1,5,1976
400460,1,0,Offensive Language,2,0,5,2315
400878,0,0,Offensive Language,2,1,5,1256
400878,1,0,Offensive Language,0,2,5,2167
400823,0,0,Verbal Abuse,1,1,4,3200
400823,1,1,Negative Attitude,0,2,4,947
400530,0,1,Verbal Abuse,0,3,7,1954
400530,1,0,Intentionally Feeding,1,1,7,2386
400530,2,1,Verbal Abuse,0,2,7,1524
400687,0,0,Intentionally Feeding,4,1,17,2000
400687,1,0,Offensive Language,0,3,17,2706
400687,2,0,Intentionally Feeding,3,0,17,1474
400687,3,0,Offensive Language,0,3,17,3158
400687,4,0,Spamming,3,0,17,3069
400273,0,0,Assisting Enemy Team,3,0,6,2356
400273,1,0,Verbal Abuse,3,0,6,3220
400047,0,0,Offensive Language,2,0,5,1234
400047,1,0,Negative Attitude,2,0,5,2484
400047,2,0,Verbal Abuse,1,0,5,2692
400520,0,0,Negative Attitude,1,3,10,1475
400520,1,0,Offensive Language,2,2,10,2483
400520,2,0,Offensive Language,2,0,10,1580
400072,0,0,Intentionally Feeding,2,0,4,1682
400072,1,0,Intentionally Feeding,1,0,4,2139
400072,2,0,Offensive Language,1,0,4,1593
400389,0,0,Negative Attitude,2,0,7,2589
400389,1,0,Offensive Language,2,0,7,1734
400389,2,0,Offensive Language,2,0,7,1345
400389,3,0,Offensive Language,1,0,7,2330
400401,0,0,Offensive Language,3,0,9,1995
400401,1,0,Assisting Enemy Team,2,0,9,1923
400401,2,0,Verbal Abuse,2,0,9,1216
400401,3,0,Spamming,2,0,9,1845
400014,0,0,Intentionally Feeding,3,0,7,2428
400014,1,0,Negative Attitude,2,0,7,704
400014,2,0,Negative Attitude,2,0,7,2458
400864,0,1,Offensive Language,0,5,13,2252
400864,1,1,Negative Attitude,0,4,13,1917
400864,2,0,Intentionally Feeding,2,0,13,1495
400864,3,0,Negative Attitude,2,0,13,1231
400829,0,0,Intentionally Feeding,2,2,10,1620
400829,1,0,Assisting Enemy Team,2,1,10,1824
400829,2,0,Intentionally Feeding,3,0,10,1871
400385,0,0,Intentionally Feeding,4,0,7,1704
400385,1,0,Offensive Language,2,0,7,3048
400385,2,0,Offensive Language,1,0,7,2457
400511,0,0,Offensive Language,2,0,3,3012
400511,1,0,Verbal Abuse,1,0,3,1098
400235,0,0,Verbal Abuse,3,4,17,2104
400235,1,0,Intentionally Feeding,3,0,17,2283
400235,2,0,Verbal Abuse,3,0,17,1851
400235,3,0,Offensive Language,0,2,17,1906
400235,4,0,Intentionally Feeding,2,0,17,1489
400246,0,0,Intentionally Feeding,2,1,6,3407
400246,1,0,Offensive Language,3,0,6,1939
400164,0,0,Intentionally Feeding,3,1,6,1488
400164,1,0,Intentionally Feeding,2,0,6,1833
400595,0,0,Intentionally Feeding,3,0,3,1740
400008,0,0,Verbal Abuse,2,0,4,1296
